t_ms,ax,ay,az,gx,gy,gz
17798382,-0.7711,0.5896,0.2577,0.4883,0.1221,-0.3052
17798392,-0.7704,0.5898,0.2577,0.4272,0.1221,-0.3662
17798401,-0.7705,0.5902,0.2565,0.1831,0.3052,-0.3662
17798411,-0.7705,0.5909,0.2551,0.0000,0.5493,-0.3662
17798420,-0.7709,0.5920,0.2555,-0.3052,0.8545,-0.3052
17798430,-0.7705,0.5900,0.2560,-0.6104,1.0986,-0.1831
17798439,-0.7710,0.5868,0.2552,-0.6714,1.3428,-0.3662
17798448,-0.7709,0.5863,0.2554,-0.7324,1.7090,-0.2441
17798458,-0.7697,0.5886,0.2565,-0.5493,1.6479,-0.3052
17798468,-0.7699,0.5905,0.2577,-0.1221,1.4038,-0.3052
17798477,-0.7731,0.5894,0.2588,0.2441,0.7324,-0.3662
17798487,-0.7742,0.5889,0.2589,-0.1221,0.5493,-0.1221
17798496,-0.7719,0.5890,0.2576,-0.0610,0.2441,-0.1831
17798506,-0.7715,0.5887,0.2561,0.0000,0.1831,0.0000
17798515,-0.7694,0.5880,0.2555,-0.2441,0.1221,-0.1221
17798524,-0.7687,0.5867,0.2546,-0.1831,0.1831,-0.3052
17798534,-0.7720,0.5889,0.2526,-0.2441,0.3662,-0.3052
17798544,-0.7734,0.5922,0.2528,-0.1831,0.7324,-0.3052
17798552,-0.7729,0.5933,0.2551,-0.4272,0.7324,-0.1831
17798563,-0.7740,0.5925,0.2572,-0.0610,0.3662,-0.3052
17798572,-0.7744,0.5895,0.2587,0.4883,-0.4272,-0.3052
17798582,-0.7749,0.5892,0.2584,0.7324,-0.8545,-0.3662
17798591,-0.7754,0.5906,0.2578,0.7324,-1.0376,-0.3662
17798600,-0.7734,0.5909,0.2566,0.9155,-1.0986,-0.4883
17798610,-0.7699,0.5908,0.2546,0.8545,-0.9766,-0.5493
17798619,-0.7705,0.5913,0.2533,0.6104,-0.6714,-0.6104
17798628,-0.7715,0.5923,0.2539,0.1831,-0.2441,-0.3662
17798638,-0.7704,0.5911,0.2545,0.3052,-0.2441,-0.4883
17798648,-0.7706,0.5901,0.2543,0.1831,-0.0610,-0.4272
17798657,-0.7693,0.5901,0.2542,-0.3052,0.0610,-0.4883
17798667,-0.7687,0.5895,0.2539,-0.0610,0.0000,-0.6104
17798676,-0.7692,0.5906,0.2543,-0.1831,-0.3052,-0.5493
17798686,-0.7695,0.5916,0.2544,0.0000,-0.4272,-0.5493
17798695,-0.7694,0.5911,0.2548,0.0000,-0.4883,-0.5493
17798704,-0.7690,0.5920,0.2555,0.4272,-0.5493,-0.5493
17798714,-0.7688,0.5913,0.2554,0.7935,-0.5493,-0.6714
17798724,-0.7698,0.5905,0.2543,0.3052,0.0000,-0.5493
17798733,-0.7700,0.5919,0.2527,-0.4883,0.4272,-0.4272
17798742,-0.7703,0.5920,0.2513,-0.0610,0.0610,-0.5493
17798752,-0.7736,0.5903,0.2527,0.0000,-0.4272,-0.4272
17798762,-0.7749,0.5874,0.2577,-0.4883,-0.4272,-0.3052
17798771,-0.7723,0.5854,0.2605,-0.3052,-0.3662,-0.3662
17798780,-0.7699,0.5889,0.2579,0.1221,-0.6714,-0.4883
17798790,-0.7673,0.5950,0.2555,1.3428,-1.3428,-0.7324
17798800,-0.7661,0.5989,0.2573,2.6855,-2.0142,-1.2817
17798808,-0.7666,0.5990,0.2562,2.4414,-1.7090,-1.4648
17798818,-0.7662,0.5966,0.2513,1.8311,-1.5259,-1.4648
17798828,-0.7683,0.5962,0.2496,1.7090,-1.3428,-1.1597
17798837,-0.7744,0.5952,0.2507,0.6714,-0.6714,-0.7324
17798847,-0.7786,0.5906,0.2539,-0.1831,0.2441,-0.5493
17798856,-0.7794,0.5875,0.2583,-0.6714,0.4883,-0.6104
17798866,-0.7810,0.5863,0.2622,-0.7935,0.5493,-0.6714
17798875,-0.7815,0.5828,0.2626,-0.3052,0.0610,-1.0986
17798884,-0.7792,0.5817,0.2600,0.1831,-0.0610,-1.2817
